, AgCl, AuCl, BH3, CrCO5, CuCl, H, IrClCO2-c, IrClCO2-t, NiCO3, NiPH33, PdCl3, PdPH33, PtCl3, PtPH33, RhClCO2-c, RhClCO2-t
L1, -36.88851854, -58.26569967, -35.04196333, -42.00411421, -44.56910726, -214.0844601, -47.61941152, -34.98720915, -33.32309957, -46.7803633, -54.94385779, -25.45072496, -69.36660554, -29.13137539, -45.16006443, -35.34162167
L2, -33.63582967, -52.61457076, -27.47119873, -36.99651588, -41.34371599, -212.0514476, -39.94103088, -29.70447242, -27.19524665, -39.0319775, -45.57774151, -18.97909027, -58.61840611, -20.23868141, -38.19428502, -31.15340836
L3, -34.0086189, -52.55531595, -26.5503754, -32.22642291, -40.37305672, -196.4316477, -29.85114503, -28.60400068, -31.49457043, -47.45950126, -23.4255313, -25.72109355, -37.78361599, -27.54742851, -29.56899616, -30.190036
L4, -28.71232383, -48.34522539, -25.24357358, -41.96148742, -35.45384597, -172.9935387, -34.91547385, -30.07919243, -30.20080611, -45.36633696, -38.33341988, -25.93700679, -52.24235848, -28.36652325, -34.96642996, -31.6619488
L5, -51.17372534, -78.69949108, -46.84267775, -52.49866768, -61.5220404, -252.8248159, -62.36732245, -48.82577631, -42.80800895, -45.48408035, -58.66597235, -27.05184375, -70.23877395, -32.75003201, -62.53984627, -50.87587267
L6, -53.1652444, -77.0002602, -45.89531536, -49.50043148, -60.91593365, -252.310784, -61.38723329, -47.90311851, -40.78216572, -41.96701325, -59.11640202, -22.48252296, -73.37663754, -28.29025243, -57.90824123, -47.53487217
L7, -48.78763866, -70.25949655, -43.73492561, -50.19364469, -54.89084874, -240.9379496, -58.91714304, -44.81092153, -38.53212663, -38.91278409, -51.87933792, -22.02675201, -62.83655065, -24.29796495, -56.0407312, -44.78208052
L8, -31.73465895, -49.00629016, -25.42128378, -35.10630632, -38.05526142, -193.9694448, -35.34614817, -22.93771464, -21.83070329, -24.47553538, -29.93892063, -10.99227594, -41.13720254, -11.74336015, -35.19308572, -26.56943623
L9, -44.2866777, -64.9826279, -41.54788458, -48.99314111, -50.70724039, -235.3659618, -54.6448623, -39.56684751, -33.72618788, -34.59801804, -46.04990606, -17.57086133, -58.65964922, -20.57167507, -52.458453, -41.03757624
L10, -48.12752531, -69.73295881, -44.42027973, -47.83348345, -55.30781988, -248.9639313, -54.18512118, -43.8777295, -38.08770081, -42.78073793, -45.48749389, -21.59155238, -59.22765482, -24.68369288, -52.19988654, -46.04766772
L11, -39.21908859, -61.94241098, -39.13990152, -46.04129795, -46.95274265, -225.0102041, -47.90509675, -40.1853162, -34.37781994, -41.83646459, -43.20260111, -20.67299698, -60.39657375, -24.02547454, -46.47423139, -40.55980124
L12, -43.98401649, -64.73024203, -38.71603955, -44.35511738, -51.01445728, -241.1890734, -49.15776653, -39.49840443, -35.24565036, -41.72756592, -42.32035262, -21.42482435, -54.87208453, -24.83175785, -48.26717195, -40.21093433
L13, -51.01967243, -72.6831341, -44.25790155, -51.59380971, -56.94138572, -249.0852047, -60.7239217, -45.20821514, -41.29098606, -44.2356674, -55.57929654, -24.00836906, -68.90804654, -23.55874248, -59.45300426, -44.67724813
L14, -52.89187781, -70.8385368, -37.11069633, -49.99284238, -62.56282823, -260.3580976, -57.96278751, -45.16801303, -40.45967578, -43.27630666, -46.58623542, -22.78155822, -59.47455711, -25.16332919, -51.85256933, -45.82055748
L15, -43.34513194, -65.11698249, -35.18618598, -34.69779843, -52.19834121, -240.6172964, -49.51652031, -33.88668015, -26.71116829, -40.1536829, -42.73931392, -14.11802804, -54.80568787, -16.69096208, -41.92212274, -36.80067906
L16, -39.97349797, -60.96269615, -36.4366955, -42.22652186, -47.38469111, -225.4260908, -48.49776206, -36.2684662, -33.59589037, -42.53251816, -49.81599303, -22.21702452, -63.81205, -25.65239832, -46.00954767, -36.9284493
L17, -41.84846976, -62.79207834, -37.72638988, -43.11099273, -49.09600426, -233.2897088, -47.85294854, -37.77153328, -34.37645324, -42.2105956, -47.44321168, -21.81187934, -60.09331986, -25.25317441, -47.22691852, -38.43497578
L18, -42.71336651, -63.6767907, -38.47352024, -43.62982712, -49.92873348, -235.303508, -50.68473237, -38.54011076, -34.79245041, -42.04790757, -46.63365452, -21.62686213, -59.12891143, -25.0606425, -47.93428216, -39.17150346
L19, -49.00495121, -69.9467607, -42.11071185, -48.16174431, -55.58297374, -263.8870212, -55.6093824, -44.5693877, -37.91337031, -41.57196566, -38.94181212, -21.68351253, -52.52051615, -25.27211176, -52.34350663, -44.9969155
L20, -46.2813495, -67.36254369, -40.39496019, -46.36934416, -53.36329495, -250.8976854, -53.35881933, -42.02299681, -36.6028868, -41.9832039, -42.76197581, -21.58341309, -55.94747581, -25.00569455, -48.21019558, -42.58290696
L21, -53.19663422, -74.63066599, -45.72388094, -37.27274459, -59.92187271, -253.7337191, -49.76545625, -41.50613802, -38.87072508, -41.12984715, -39.65893726, -21.31115566, -52.6001314, -24.46087153, -45.97645768, -36.01382327
